"attended"	"years"	"participating"	"day"	"juniorsenior"	"jsage"	"party"	"tshirt"	"photo"	"comments"	"B3"
"yes"	"2006"	"yes"	"Thurs"	"No"	"5years"	"competitor"	"yes"	"both"	"Please when putting together the schedual take into consideration that adults MUST work during the week!!!  I was very close to having to drop out because I had to beg to get the time off work on a Friday Morning.....I asked to  have the day off when I found out the dates and I was told NO....then when I found out I was listed to compete on Friday morning I was told NO.....I got lucky and was able to get it off after all...I cant say that will happen this year!!!  
"	"Submit"
"yes"	"2006"	"yes"	"Mon"	"No"	""	"family"	"no"	"both"	"A celebrity visitor(performer)on saturday night.Judges from outside the competing areas,Not attending coaches as judges."	"Submit"
"yes"	"2005, 2006"	"yes"	"Mon"	"Yes"	"5years"	"family"	"yes"	"both"	"add an event called emsemble skating. You might get a couple of groups to do it."	"Submit"
"yes"	"1999, 2000, 2001"	"yes"	"Thurs"	"Yes"	"5years"	"competitor"	"yes"	"both"	""	"Submit"
"yes"	"2006"	"yes"	"Mon"	"No"	"5years"	"family"	"yes"	"both"	"Last year was the first year we did the ICC and I must say it is one of the best competitions we have ever done.  It was the most fun.  Everything ran so smoothly and we had a great time.  OUr coach has been doing it for years and it is a favorite of hersand now it has become our favorite.  Keep up the good work.  We will see you in November.  The only thing that I don't recall and think would be great is for group photos after results.  WE always get them at other competitons and I don't recall that being done last year.  It is so nice to have the group all together and it would be very nice for the 20th Anniversary.  We always buy that photo.  Thanks so much."	"Submit"
"yes"	"02  -  07"	"yes"	"Thurs"	"No"	""	"competitor"	"yes"	"both"	""	"Submit"
"no"	""	"notsure"	"Mon"	"Yes"	"5years"	"family"	"yes"	"both"	""	"Submit"
"yes"	"last 10 years or so"	"yes"	"Thurs"	"No"	"5years"	"family"	"yes"	"both"	""	"Submit"
"yes"	"several"	"notsure"	"Mon"	"No"	"5years"	"no"	"yes"	"both"	""	"Submit"
"yes"	"2007,2006,2005"	"yes"	"Mon"	"Yes"	"5years"	""	"yes"	"both"	""	"Submit"
"yes"	"2005 / 2006"	"yes"	"Mon"	"Yes"	"5years"	"family"	"yes"	"both"	"Early Schedules might be nice.
"	"Submit"
"no"	""	"notsure"	"Thurs"	"Yes"	"5years"	"family"	"yes"	"both"	""	"Submit"
"yes"	"2004. 2005. 2006"	"yes"	"Mon"	"No"	"5years"	"competitor"	"yes"	"both"	""	"Submit"
"yes"	"2005, 2004, 2003"	"yes"	"Mon"	"Yes"	"5years"	"no"	"no"	"both"	"Have schedules on the web earlier - makes it easier for us to have to take time off of school and/or work"	"Submit"
"yes"	"2006"	"yes"	"Thurs"	"No"	"5years"	"competitor"	"yes"	"both"	""	"Submit"
"yes"	"2006"	"yes"	"Mon"	"No"	""	"no"	"yes"	"both"	"This year's competition ran smoothly and seemed very organized!  Keep up the good work!"	"Submit"
"yes"	"2005/2006"	"notsure"	"Mon"	"No"	"10years"	"family"	"yes"	"both"	"I would like to see the Public skating on Saturday and the learn to skate be eliminated, because the competition would not have to have such a long weekend for those out of towners.  Saturdays could go smoother and the girls would not have to wait so long to compete.  We love coming and competing but sometimes the competition is too long into Sunday.  Thanks"	"Submit"
"yes"	"2005, 2006"	"yes"	"Mon"	"Yes"	"7years"	"competitor"	"yes"	"both"	"add ensamble skating event."	"Submit"
"yes"	"2006"	"yes"	"Mon"	"No"	""	"family"	"yes"	"action"	"It would be so much better if the events were skated on Saturday afternoon instead of there being a public session right in the middle - traveling back and forth from the hotel for a ""split"" shift was difficult."	"Submit"
"yes"	"2005, 2006"	"notsure"	"Thurs"	"Yes"	"10years"	"no"	"yes"	"action"	""	"Submit"
"yes"	"1"	"yes"	"Mon"	"Yes"	"10years"	"family"	"yes"	"action"	""	"Submit"
